2022-07-21 17:01:22,178 [ERROR] [TextLayover.py run 50] || 27585 139862254548736 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,196 [ERROR] [TextLayover.py run 50] || 27585 139861932365568 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,202 [ERROR] [TextLayover.py run 50] || 27585 139863034730240 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,210 [ERROR] [TextLayover.py run 50] || 27585 139862992783104 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,211 [ERROR] [TextLayover.py run 50] || 27585 139863076677376 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,211 [ERROR] [TextLayover.py run 50] || 27585 139862207526656 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,211 [ERROR] [TextLayover.py run 50] || 27585 139861836777216 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,213 [ERROR] [TextLayover.py run 50] || 27585 139862950835968 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,217 [ERROR] [TextLayover.py run 50] || 27585 139862199133952 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,227 [ERROR] [TextLayover.py run 50] || 27585 139862231037696 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,236 [ERROR] [TextLayover.py run 50] || 27585 139862668465920 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

